edge_energy,edge_slope,wl_energy,wl_intensity,curvature_wl,pit_energy,pit_intensity,curvature_pit
6.548399769999999990e+03,-1.257345265233200371e+04,6.559870729999999639e+03,1.000000000000000000e+00,-4.799533057543159398e-04,6.560047150000000329e+03,9.982630261315558196e-01,3.428237898245589665e-04
6.548399769999999990e+03,-1.254694047539777239e+04,6.559870729999999639e+03,1.000000000000000000e+00,-5.935103333939151238e-04,6.560047150000000329e+03,9.988129793332123363e-01,6.848196154543573222e-05
6.548752849999999853e+03,-1.254312132679690512e+04,6.559870729999999639e+03,1.000000000000000000e+00,-5.701383932042169977e-04,6.560047150000000329e+03,9.984492235704844898e-01,1.368332143690531577e-04
6.548752849999999853e+03,-1.271832405527654737e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.613557096940281266e-04,6.560047150000000329e+03,9.984492348876139456e-01,1.140268464989435682e-04
6.549105919999999969e+03,-1.193025898116839562e+04,6.559870729999999639e+03,1.000000000000000000e+00,-5.927675032524892806e-04,6.560047150000000329e+03,9.982672949904927151e-01,2.963837516261613736e-04
6.548929379999999583e+03,-1.256487233595858197e+04,6.559870729999999639e+03,1.000000000000000000e+00,-7.516777515748918059e-04,6.560047150000000329e+03,9.978133010863275976e-01,1.822249094726724472e-04
6.549105919999999969e+03,-1.236419575009690016e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.148531300328163862e-04,6.560047150000000329e+03,9.978138555376609986e-01,2.504957196430568356e-04
6.549282449999999699e+03,-1.254263425449335591e+04,6.559870729999999639e+03,1.000000000000000000e+00,-8.421532421734045926e-04,6.560047150000000329e+03,9.979059973437849340e-01,9.104359374853543407e-05
6.549105919999999969e+03,-1.254541748461715179e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.830767445101526558e-04,6.560047150000000329e+03,9.979963082161035226e-01,6.830767445106800118e-05
6.549105919999999969e+03,-1.254333360967114277e+04,6.559870729999999639e+03,1.000000000000000000e+00,-8.419558103726076936e-04,6.560047150000000329e+03,9.970872880073597955e-01,3.868445615225479806e-04
6.549105919999999969e+03,-1.250442334436416786e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.597168604429437533e-04,6.560047150000000329e+03,9.974521279872547996e-01,3.639817161064651252e-04
6.549105919999999969e+03,-1.253506319491450267e+04,6.559870729999999639e+03,1.000000000000000000e+00,-7.731167127005000861e-04,6.560047150000000329e+03,9.979080371303397090e-01,1.136936342207295336e-04
6.549105919999999969e+03,-1.304499038357926293e+04,6.559870729999999639e+03,1.000000000000000000e+00,-8.413647281531599909e-04,6.560047150000000329e+03,9.979989163222302562e-01,0.000000000000000000e+00
6.549282449999999699e+03,-1.254328473832251984e+04,6.559870729999999639e+03,1.000000000000000000e+00,-7.959696101531854584e-04,6.560047150000000329e+03,9.980896729356322217e-01,-4.548397772299872521e-05
6.549105919999999969e+03,-1.263726829860361613e+04,6.559694319999999607e+03,1.000000000000000000e+00,-1.000928588749810944e-03,6.569394309999999678e+03,9.395803106427371709e-01,2.502321471875290637e-04
6.549105919999999969e+03,-1.252643664178722429e+04,6.559694319999999607e+03,1.000000000000000000e+00,-1.091761756841197473e-03,6.560047150000000329e+03,9.980894169255278836e-01,2.501954026094821426e-04
6.549282449999999699e+03,-1.254120567503248276e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.144382054944774740e-04,6.567278430000000299e+03,9.468397167394358993e-01,4.096254703296886568e-04
6.549282449999999699e+03,-1.253454379582952788e+04,6.559870729999999639e+03,1.000000000000000000e+00,-7.508960920909468761e-04,6.567278430000000299e+03,9.478468532402257729e-01,1.592809892314861475e-04
6.549282449999999699e+03,-1.254735562838989426e+04,6.559870729999999639e+03,1.000000000000000000e+00,-7.054910048986673399e-04,6.569394309999999678e+03,9.415580354651694739e-01,2.048199691640772979e-04
6.549282449999999699e+03,-1.254364428711800792e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.145220575182186451e-04,6.560047150000000329e+03,9.979060729891972015e-01,1.593205334306790899e-04
6.549282449999999699e+03,-1.250348280129900195e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.829559243011207315e-04,6.560047150000000329e+03,9.981787842018636780e-01,-4.553039495341915099e-05
6.549458980000000338e+03,-1.252726177054640175e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.148300841916642945e-04,6.560047150000000329e+03,9.979961093552273121e-01,2.049433613971474166e-04
6.549282449999999699e+03,-1.241813581119726769e+04,6.559870729999999639e+03,1.000000000000000000e+00,-7.056479332163134721e-04,6.560047150000000329e+03,9.980879217293493477e-01,1.365770193322013437e-04
6.549458980000000338e+03,-1.253903248335831813e+04,6.559870729999999639e+03,1.000000000000000000e+00,-6.600349390632476165e-04,6.560047150000000329e+03,9.978150567534456172e-01,1.820786038795874084e-04
6.549458980000000338e+03,-1.254367730780308193e+04,6.559870729999999639e+03,1.000000000000000000e+00,-7.054192124335834091e-04,6.569394309999999678e+03,9.413819389926159076e-01,1.137772923280044868e-04
6.549458980000000338e+03,-1.206651222982918807e+04,6.559870729999999639e+03,1.000000000000000000e+00,-7.740001511575833604e-04,6.568336400000000140e+03,9.434524595448333661e-01,2.731765239380179455e-04
